t,x,y
4324.53027,0.24568,0.3379
4324.5463899999995,0.26064,0.355
4324.5625,0.26098000000000005,0.35766
4324.5786100000005,0.26056999999999997,0.341
4324.59473,0.27953,0.32776
4324.61084,0.27953,0.32776
4324.62695,0.26648,0.41307
4324.64307,0.25285,0.33885
4324.65918,0.25149,0.32848
4324.67578,0.2466,0.35984
4324.6923799999995,0.26894,0.29553
4324.7085,0.26894,0.29553
4324.72461,0.25678,0.32874000000000003
4324.740720000001,0.26857,0.32585
4324.75684,0.26857,0.32585
4324.77344,0.24641,0.3131
4324.78906,0.25311999999999996,0.33271
4324.80566,0.25343000000000004,0.3351
4324.821779999999,0.23164,0.39163000000000003
4324.83789,0.26295999999999997,0.37137
4324.854,0.26356999999999997,0.37622
4324.8701200000005,0.27652,0.32985
4324.88965,0.25832,0.38595999999999997
4324.90283,0.25964,0.39594
4324.92285,0.27458,0.39921999999999996
4324.93604,0.26563000000000003,0.42699
4324.95068,0.26531,0.42466000000000004
4324.96729,0.26726,0.4054
4324.9917,0.26477,0.40124
4325.00635,0.26414,0.39641
4325.01758,0.24825999999999998,0.36834
4325.031739999999,0.25183,0.36565
4325.04883,0.25078,0.35791
4325.06396,0.24702,0.37692
4325.08057,0.24176,0.39465
4325.1001,0.24209,0.39712
4325.1123,0.26113000000000003,0.39666
4325.12891,0.26626,0.35186999999999996
4325.14453,0.26626,0.35186999999999996
4325.1611299999995,0.24189000000000002,0.38463
4325.17969,0.23034000000000002,0.3919
4325.19336,0.22995,0.38935
4325.209470000001,0.25843,0.33192
4325.24219,0.23951,0.35325
4325.25781,0.24059,0.36018
4325.27441,0.26696,0.3503
4325.291020000001,0.26106999999999997,0.37835
4325.31006,0.26266,0.39068
4325.32324,0.27795,0.40068000000000004
4325.3388700000005,0.25189,0.4183
4325.35547,0.25263,0.42345
4325.37158,0.26625,0.43059
4325.3877,0.27346,0.44736000000000004
4325.40527,0.27262,0.441
4325.41943,0.27969,0.35494000000000003
4325.43652,0.26684,0.35465
4325.4526399999995,0.26654,0.35197
4325.468260000001,0.26887,0.4198
4325.4848600000005,0.25909,0.40847
4325.50098,0.25909,0.40847
4325.51709,0.25651,0.41607
4325.5332,0.2872,0.45358999999999994
4325.54932,0.28713,0.45319
4325.56543,0.2599,0.40791
4325.58203,0.25985,0.39305
4325.6001,0.25778,0.37734
4325.61377,0.25327,0.37778
4325.6298799999995,0.25655,0.32571
4325.646479999999,0.25453000000000003,0.30965
4325.6626,0.27407,0.314
4325.68555,0.23986999999999997,0.31458
4325.694820000001,0.24026999999999998,0.31735
4325.711429999999,0.26215,0.30409
4325.72705,0.24331999999999998,0.32766
4325.74365,0.24411,0.33346
4325.76123,0.26069000000000003,0.34768000000000004
4325.77539,0.26953,0.31149
4325.79199,0.2702,0.31744
4325.80811,0.28775,0.35320999999999997
4325.82422,0.2906,0.31674
4325.84082,0.2906,0.31674
4325.85693,0.25035999999999997,0.31749
4325.87256,0.26932,0.34683
4325.88916,0.26932,0.34683
4325.90527,0.26066999999999996,0.37383
4325.92383,0.25733,0.33041
4325.9375,0.25624,0.32141
4325.9536100000005,0.26861,0.33583
4325.97021,0.25983,0.34478000000000003
4325.98633,0.25952,0.3419
4326.00195,0.25866999999999996,0.32787
4326.01855,0.25339,0.32574000000000003
4326.03516,0.25339,0.32574000000000003
4326.05078,0.25148000000000004,0.27774
4326.0673799999995,0.25736,0.31093000000000004
4326.08301,0.25885,0.3231
4326.09912,0.28231999999999996,0.32796
4326.115229999999,0.26406999999999997,0.34978000000000004
4326.13184,0.26406999999999997,0.34978000000000004
4326.14795,0.25984,0.31881
4326.16406,0.27584000000000003,0.3384
4326.180179999999,0.27584000000000003,0.3384
4326.19629,0.28052,0.38764
4326.2124,0.27438,0.38799
4326.229,0.2752,0.39529000000000003
4326.2451200000005,0.27687,0.3384
4326.26123,0.26879000000000003,0.37338000000000005
4326.27734,0.26909,0.37594
4326.29346,0.28014,0.39810999999999996
4326.30957,0.27089,0.38773
4326.32568,0.27089,0.38773
4326.3418,0.27097,0.37322
4326.3584,0.25254,0.40899
4326.374510000001,0.25116,0.39938
4326.39063,0.26974000000000004,0.32905999999999996
4326.40625,0.27223,0.3649
4326.42285,0.27223,0.3649
4326.43896,0.26858000000000004,0.35012
4326.45508,0.26871999999999996,0.31289
4326.47119,0.26771999999999996,0.30365
4326.4873,0.27537,0.34
4326.50391,0.25061,0.33558000000000004
4326.51953,0.2502,0.33263000000000004
4326.5361299999995,0.26024,0.36054
4326.55176,0.27233,0.33279000000000003
4326.56787,0.27233,0.33279000000000003
4326.584470000001,0.26950999999999997,0.30667
4326.60059,0.26211999999999996,0.28526999999999997
4326.61816,0.26356999999999997,0.2977
4326.63281,0.25484,0.35538000000000003
4326.648929999999,0.2568,0.33405999999999997
4326.66504,0.2568,0.33405999999999997
4326.68164,0.23237,0.38745
4326.69775,0.2888,0.36199000000000003
4326.7138700000005,0.2888,0.36199000000000003
4326.73047,0.28667,0.31548000000000004
4326.74658,0.2734,0.30582
4326.7627,0.2734,0.30582
4326.77881,0.24861,0.36348
4326.79443,0.27349,0.36272
4326.81104,0.27349,0.36272
4326.82715,0.26611999999999997,0.35975999999999997
4326.843260000001,0.24489,0.38655
4326.8598600000005,0.24520999999999998,0.38881
4326.87598,0.25999,0.35207
4326.89209,0.24869000000000002,0.37517
4326.9082,0.25008,0.38514
4326.92432,0.25440999999999997,0.4089
4326.94043,0.25342,0.40815
4326.95654,0.25447,0.41573999999999994
4326.97314,0.26159,0.43871000000000004
4326.98877,0.25976,0.42315
4327.0048799999995,0.2591,0.41835
4327.021479999999,0.18439,0.43449
4327.03711,0.20389000000000002,0.41103999999999996
4327.053220000001,0.20344,0.40846
4327.069820000001,0.18632,0.43218999999999996
4327.08545,0.19848,0.44226000000000004
4327.10205,0.198,0.43983
4327.11816,0.21638000000000002,0.35577
4327.134279999999,0.21911999999999998,0.43227
4327.15088,0.21911999999999998,0.43227
4327.16699,0.19449,0.45288
4327.18311,0.22150999999999998,0.40435
