t,x,y
4324.53027,0.20529,0.70544
4324.5463899999995,0.20529,0.70544
4324.5625,0.20529,0.70544
4324.5786100000005,0.20529,0.70544
4324.59473,0.20529,0.70544
4324.61084,0.20529,0.70544
4324.62695,0.20529,0.70544
4324.64307,0.20529,0.70544
4324.65918,0.20529,0.70544
4324.67578,0.20529,0.70544
4324.6923799999995,0.20529,0.70544
4324.7085,0.20529,0.70544
4324.72461,0.20529,0.70544
4324.740720000001,0.20529,0.70544
4324.75684,0.20529,0.70544
4324.77344,0.20529,0.70544
4324.78906,0.20529,0.70544
4324.80566,0.20529,0.70544
4324.821779999999,0.20529,0.70544
4324.83789,0.20529,0.70544
4324.854,0.20529,0.70544
4324.8701200000005,0.20529,0.70544
4324.88965,0.20529,0.70544
4324.90283,0.20529,0.70544
4324.92285,0.20529,0.70544
4324.93604,0.20529,0.70544
4324.95068,0.20529,0.70544
4324.96729,0.20529,0.70544
4324.9917,0.20529,0.70544
4325.00635,0.20529,0.70544
4325.01758,0.20529,0.70544
4325.031739999999,0.20529,0.70544
4325.04883,0.20529,0.70544
4325.06396,0.20529,0.70544
4325.08057,0.20529,0.70544
4325.1001,0.20529,0.70544
4325.1123,0.20529,0.70544
4325.12891,0.20529,0.70544
4325.14453,0.20529,0.70544
4325.1611299999995,0.20529,0.70544
4325.17969,0.20529,0.70544
4325.19336,0.20529,0.70544
4325.209470000001,0.20529,0.70544
4325.24219,0.20529,0.70544
4325.25781,0.20529,0.70544
4325.27441,0.20529,0.70544
4325.291020000001,0.20529,0.70544
4325.31006,0.20529,0.70544
4325.32324,0.20529,0.70544
4325.3388700000005,0.20529,0.70544
4325.35547,0.20529,0.70544
4325.37158,0.20529,0.70544
4325.3877,0.20529,0.70544
4325.40527,0.20529,0.70544
4325.41943,0.20529,0.70544
4325.43652,0.20529,0.70544
4325.4526399999995,0.20529,0.70544
4325.468260000001,0.20529,0.70544
4325.4848600000005,0.20529,0.70544
4325.50098,0.20529,0.70544
4325.51709,0.20529,0.70544
4325.5332,0.20529,0.70544
4325.54932,0.20529,0.70544
4325.56543,0.20529,0.70544
4325.58203,0.20529,0.70544
4325.6001,0.20529,0.70544
4325.61377,0.20529,0.70544
4325.6298799999995,0.20529,0.70544
4325.646479999999,0.20529,0.70544
4325.6626,0.20529,0.70544
4325.68555,0.20529,0.70544
4325.694820000001,0.20529,0.70544
4325.711429999999,0.20529,0.70544
4325.72705,0.20529,0.70544
