t,x,y
4324.53027,0.10825,0.27566999999999997
4324.5463899999995,0.10825,0.27566999999999997
4324.5625,0.10555,0.28462
4324.5786100000005,0.10647000000000001,0.28995
4324.59473,0.10783,0.29566
4324.61084,0.11840999999999999,0.34801
4324.62695,0.10802,0.3623
4324.64307,0.10867,0.36461
4324.65918,0.11965,0.36521
4324.67578,0.10342,0.37356999999999996
4324.6923799999995,0.10622000000000001,0.38404
4324.7085,0.09441000000000001,0.42241999999999996
4324.72461,0.10835999999999998,0.41402
4324.740720000001,0.107,0.40908
4324.75684,0.08616,0.42746999999999996
4324.77344,0.14695999999999998,0.25016
4324.78906,0.15150999999999998,0.2512
4324.80566,0.14908,0.23886
4324.821779999999,0.17564000000000002,0.31709
4324.83789,0.22851,0.3165
4324.854,0.22851,0.3165
4324.8701200000005,0.26311,0.28392
4324.88965,0.27259,0.29279
4324.90283,0.27259,0.29279
4324.92285,0.28059,0.26061999999999996
4324.93604,0.2501,0.26116
4324.95068,0.2501,0.26116
4324.96729,0.27992,0.27071999999999996
4324.9917,0.26022,0.30119
4325.00635,0.26022,0.30119
4325.01758,0.22810999999999998,0.3813
4325.031739999999,0.2537,0.30318
4325.04883,0.2537,0.30318
4325.06396,0.28559,0.3395
4325.08057,0.27879,0.35896999999999996
4325.1001,0.27879,0.35896999999999996
4325.1123,0.2906,0.33632
4325.12891,0.27718000000000004,0.33229000000000003
4325.14453,0.27718000000000004,0.33229000000000003
4325.1611299999995,0.24749000000000002,0.3433
4325.17969,0.27121,0.34598
4325.19336,0.27215,0.35349
4325.209470000001,0.23771,0.31088000000000005
4325.24219,0.27826999999999996,0.37034
4325.25781,0.27826999999999996,0.37034
4325.27441,0.28969,0.33976999999999996
4325.291020000001,0.27918000000000004,0.35213
4325.31006,0.27918000000000004,0.35213
4325.32324,0.2576,0.38925
4325.3388700000005,0.25386,0.37345
4325.35547,0.25386,0.37345
4325.37158,0.26626,0.36956
4325.3877,0.26735,0.3568
4325.40527,0.26669,0.35122
4325.41943,0.27232,0.33271999999999996
4325.43652,0.28010999999999997,0.32436
4325.4526399999995,0.27989,0.32187
4325.468260000001,0.27142,0.34736999999999996
4325.4848600000005,0.2645,0.31467
4325.50098,0.26416,0.31190999999999997
4325.51709,0.22221999999999997,0.23451999999999998
4325.5332,0.22471999999999998,0.2587
4325.54932,0.22385,0.2525
4325.56543,0.23079000000000002,0.25542
4325.58203,0.23655,0.26489
4325.6001,0.23655,0.26489
4325.61377,0.2328,0.26436
4325.6298799999995,0.22869,0.2778
4325.646479999999,0.22869,0.2778
4325.6626,0.24198000000000003,0.24586
4325.68555,0.24193,0.25503000000000003
4325.694820000001,0.24270999999999998,0.26119000000000003
4325.711429999999,0.29239,0.21174
4325.72705,0.27871,0.22884000000000002
4325.74365,0.27871,0.22884000000000002
4325.76123,0.27003,0.2053
4325.77539,0.27501,0.20988
4325.79199,0.27475,0.20695999999999998
4325.80811,0.27898,0.19787000000000002
4325.82422,0.26059,0.19377
4325.84082,0.25994,0.18767
4325.85693,0.2713,0.19739
4325.87256,0.26761999999999997,0.18445
4325.88916,0.26639,0.17204
4325.90527,0.278,0.15186
4325.92383,0.27614,0.14974
4325.9375,0.27557,0.14336
4325.9536100000005,0.27981,0.1307
4325.97021,0.29295,0.11623
4325.98633,0.29246,0.10979000000000001
4326.00195,0.28989000000000004,0.11087000000000001
