"","t","x","y"
"5115",83366,0.174534,0.568049
"5116",83382,0.174876,0.567347
"5117",83398,0.176116,0.566228
"5118",83413,0.179005,0.56547
"5119",83429,0.183882,0.564202
"5120",83444,0.190606,0.56333
"5121",83476,0.199357,0.562319
"5122",83491,0.209438,0.560433
"5123",83507,0.220135,0.558714
"5124",83522,0.23094,0.557972
"5125",83538,0.239916,0.556267
"5126",83554,0.248299,0.55514
"5127",83569,0.255901,0.554086
"5128",83585,0.261277,0.552737
"5129",83600,0.265817,0.551812
"5130",83616,0.269558,0.550906
"5131",83632,0.272324,0.550034
"5132",83647,0.275358,0.549176
"5133",83663,0.278314,0.548044
"5134",83678,0.280989,0.54662
"5135",83694,0.283641,0.544872
"5136",83710,0.285899,0.542684
"5137",83725,0.287942,0.540525
"5138",83741,0.286587,0.538381
"5139",83756,0.27775,0.538799
"5140",83772,0.270255,0.538189
"5141",83788,0.262445,0.538962
"5142",83803,0.249758,0.540859
"5143",83819,0.237813,0.542187
"5144",83834,0.225893,0.543516
"5145",83850,0.215463,0.544205
"5146",83866,0.206954,0.544708
"5147",83881,0.200118,0.545563
"5148",83912,0.193746,0.54662
"5149",83928,0.188296,0.548396
"5150",83944,0.183861,0.550363
"5151",83959,0.179876,0.552659
"5152",83975,0.176972,0.554429
"5153",83990,0.17415,0.556067
"5154",84006,0.171187,0.557269
"5155",84022,0.169163,0.558849
"5156",84037,0.167527,0.560544
"5157",84053,0.166276,0.561612
"5158",84068,0.165123,0.563
"5159",84084,0.16424,0.563745
"5160",84100,0.163225,0.564708
"5161",84115,0.162712,0.565628
"5162",84131,0.162528,0.56641
"5163",84146,0.155815,0.566074
"5164",84162,0.151182,0.565851
"5165",84178,0.143416,0.565908
"5166",84193,0.130024,0.56579
"5167",84224,0.116555,0.565765
"5168",84240,0.104163,0.564214
"5169",84256,0.0936392,0.563196
"5170",84271,0.0849179,0.563161
"5171",84287,0.0774583,0.563029
"5172",84302,0.0712608,0.564566
"5173",84318,0.0662557,0.564947
"5174",84334,0.0619804,0.564805
"5175",84349,0.0584445,0.565413
"5176",84365,0.0546551,0.564791
"5177",84380,0.0513705,0.564423
"5178",84396,0.0486797,0.564291
"5179",84412,0.0463766,0.563793
"5180",84427,0.0442565,0.564116
"5181",84443,0.0422339,0.564146
"5182",84458,0.0409879,0.564404
"5183",84474,0.0398612,0.564524
"5184",84490,0.039014,0.564218
"5185",84505,0.0383051,0.564206
"5186",84521,0.0372368,0.56433
"5187",84536,0.0364012,0.564646
"5188",84552,0.0471558,0.563303
"5189",84568,0.0627603,0.563477
"5190",84583,0.0837439,0.559798
"5191",84599,0.102695,0.558317
"5192",84614,0.125234,0.556645
"5193",84630,0.142888,0.55545
"5194",84646,0.157502,0.556415
"5195",84661,0.170875,0.559458
"5196",84677,0.181416,0.562267
"5197",84708,0.190595,0.564888
"5198",84724,0.199132,0.566549
"5199",84739,0.205645,0.566416
"5200",84755,0.210492,0.565658
"5201",84770,0.21457,0.564006
"5202",84786,0.217267,0.562677
"5203",84802,0.219738,0.562187
"5204",84817,0.222071,0.562831
"5205",84833,0.224146,0.563535
"5206",84848,0.225642,0.56404
"5207",84864,0.227052,0.563749
"5208",84880,0.228098,0.563202
"5209",84895,0.229017,0.56328
"5210",84911,0.229936,0.563053
"5211",84926,0.229886,0.563286
"5212",84942,0.229228,0.563835
"5213",84958,0.227932,0.564288
"5214",84973,0.227034,0.564306
"5215",84989,0.225676,0.564228
"5216",85004,0.223165,0.563435
"5217",85020,0.220209,0.562633
"5218",85036,0.2168,0.562507
"5219",85051,0.213545,0.56307
"5220",85067,0.210805,0.564717
"5221",85082,0.208096,0.565999
"5222",85098,0.20549,0.566907
"5223",85114,0.203294,0.567496
"5224",85145,0.201879,0.567224
"5225",85160,0.20387,0.56599
"5226",85176,0.213402,0.564678
"5227",85192,0.220942,0.56329
"5228",85207,0.230009,0.561984
"5229",85223,0.24005,0.561094
"5230",85238,0.254062,0.559827
"5231",85254,0.266923,0.557821
"5232",85270,0.279428,0.557262
"5233",85285,0.290118,0.556406
"5234",85301,0.299277,0.555648
"5235",85316,0.307357,0.555907
"5236",85332,0.314069,0.555972
"5237",85348,0.319871,0.556537
"5238",85363,0.324502,0.558365
"5239",85379,0.328864,0.559515
"5240",85394,0.332621,0.559989
"5241",85410,0.335609,0.560573
"5242",85426,0.338244,0.56016
"5243",85441,0.340007,0.559244
"5244",85457,0.341497,0.558153
"5245",85472,0.342687,0.556522
"5246",85488,0.343717,0.555235
"5247",85504,0.34467,0.554482
"5248",85535,0.346015,0.55385
"5249",85535,0.34747,0.553781
"5250",85566,0.348828,0.553852
"5251",85582,0.349926,0.554178
"5252",85597,0.348657,0.554796
"5253",85613,0.337999,0.552925
"5254",85628,0.331108,0.552037
"5255",85644,0.320865,0.550229
"5256",85660,0.305766,0.546312
"5257",85675,0.289164,0.543149
"5258",85691,0.274275,0.540266
"5259",85706,0.260837,0.537684
"5260",85722,0.250106,0.535715
"5261",85738,0.24291,0.533051
"5262",85753,0.237164,0.529726
"5263",85769,0.232255,0.527676
"5264",85784,0.227102,0.525639
"5265",85800,0.222285,0.524303
"5266",85816,0.217837,0.525569
"5267",85831,0.215267,0.527437
"5268",85847,0.213514,0.529999
"5269",85862,0.211341,0.532237
"5270",85878,0.209531,0.53336
"5271",85894,0.206539,0.534084
"5272",85925,0.203575,0.5345
"5273",85940,0.200794,0.534503
"5274",85956,0.197653,0.53395
"5275",85972,0.195852,0.53076
"5276",85987,0,0
"5277",86003,0,0
"5278",86018,0,0
"5279",86034,0,0
"5280",86050,0,0
"5281",86065,0,0
"5282",86081,0,0
"5283",86096,0,0
"5284",86112,0,0
"5285",86128,0,0
"5286",86143,0,0
"5287",86159,0,0
"5288",86174,0,0
"5289",86190,0,0
"5290",86206,0.190834,0.466513
"5291",86221,0.135817,0.310931
"5292",86237,0.11635,0.24359
"5293",86252,0.0875893,0.123667
"5294",86268,0.0907293,0.213731
"5295",86284,0.0898194,0.211193
"5296",86315,0.10289,0.281165
"5297",86330,0.109437,0.34272
"5298",86346,0.118799,0.388206
"5299",86362,0.125369,0.427825
"5300",86377,0.129375,0.462372
"5301",86393,0.131217,0.476204
"5302",86408,0.132588,0.488358
"5303",86424,0.133941,0.498047
"5304",86440,0.136395,0.50564
"5305",86455,0.138752,0.511386
"5306",86471,0.141725,0.515944
"5307",86486,0.14395,0.520223
"5308",86502,0.14566,0.524836
"5309",86518,0.146963,0.527978
"5310",86533,0.147927,0.530009
"5311",86549,0.149062,0.530595
"5312",86564,0.149664,0.53039
"5313",86580,0.150327,0.530434
"5314",86596,0.150666,0.531146
"5315",86611,0.150953,0.532709
"5316",86627,0.151189,0.533781
"5317",86642,0.151347,0.534611
"5318",86658,0.151581,0.534937
"5319",86674,0.152029,0.534296
"5320",86689,0.152628,0.533982
"5321",86705,0.153424,0.533429
"5322",86736,0.154018,0.532978
"5323",86752,0.154552,0.532479
"5324",86767,0.154943,0.53177
"5325",86783,0.154883,0.53128
"5326",86798,0.154584,0.530582
"5327",86814,0.154588,0.52913
"5328",86830,0.154627,0.527656
"5329",86845,0.155118,0.526095
"5330",86861,0.156073,0.524137
"5331",86876,0.157011,0.52273
"5332",86892,0.158179,0.520985
"5333",86908,0.159228,0.519883
"5334",86923,0.160271,0.51961
"5335",86939,0.160836,0.51996
"5336",86954,0.161226,0.520581
"5337",86970,0.161612,0.520133
"5338",86986,0.161533,0.519099
"5339",87001,0.161625,0.517569
"5340",87017,0.161683,0.515752
"5341",87032,0.161612,0.513749
"5342",87048,0.161902,0.511666
"5343",87064,0.162284,0.509912
"5344",87079,0.162619,0.50913
"5345",87095,0.162804,0.507686
"5346",87126,0.162134,0.50594
"5347",87142,0.161221,0.503529
"5348",87157,0.160545,0.500215
"5349",87173,0.16016,0.496855
"5350",87188,0.160659,0.493257
"5351",87204,0.162868,0.48958
"5352",87220,0.174438,0.490526
"5353",87235,0.185506,0.491155
"5354",87251,0.195548,0.490977
"5355",87266,0.206982,0.49122
"5356",87282,0.22117,0.491745
"5357",87298,0.23288,0.491949
"5358",87313,0.243385,0.492899
"5359",87329,0.252887,0.494486
"5360",87344,0.261322,0.495242
"5361",87360,0.268693,0.495462
"5362",87376,0.274818,0.495993
"5363",87391,0.280056,0.49639
"5364",87407,0.284341,0.497142
"5365",87422,0.28851,0.498987
"5366",87438,0.291593,0.499721
"5367",87454,0.294148,0.500259
"5368",87469,0.296128,0.499855
"5369",87485,0.297672,0.498413
"5370",87500,0.30009,0.497642
"5371",87516,0.303161,0.496378
"5372",87532,0.306597,0.495194
"5373",87547,0.310723,0.494567
"5374",87578,0.315097,0.49387
"5375",87594,0.319387,0.494607
"5376",87610,0.323975,0.49657
"5377",87625,0.328828,0.499066
"5378",87641,0.333885,0.50082
"5379",87656,0.33835,0.501383
"5380",87672,0.342178,0.502157
"5381",87688,0.345378,0.502237
"5382",87703,0.348249,0.502172
"5383",87719,0.350647,0.503496
"5384",87734,0.352888,0.50484
"5385",87750,0.354689,0.50652
"5386",87766,0.356254,0.508661
"5387",87781,0.357932,0.509483
"5388",87797,0.359542,0.509894
"5389",87812,0.361334,0.509669
"5390",87828,0.362872,0.509258
"5391",87844,0.364481,0.509872
"5392",87859,0.366162,0.509941
"5393",87875,0.367355,0.510524
"5394",87890,0.36817,0.511216
"5395",87906,0.368641,0.511015
"5396",87922,0.36707,0.511139
"5397",87953,0.355609,0.506793
"5398",87968,0.341176,0.499955
"5399",87984,0.326288,0.49487
"5400",88000,0.30346,0.485558
"5401",88015,0.28339,0.477603
"5402",88031,0.267352,0.470872
"5403",88046,0.254102,0.465624
"5404",88062,0.242252,0.461675
"5405",88078,0.232673,0.458699
"5406",88093,0.224271,0.458079
"5407",88109,0.215926,0.459479
"5408",88124,0.208165,0.459569
"5409",88140,0.201077,0.459936
"5410",88156,0.19427,0.460135
"5411",88171,0.188767,0.459846
"5412",88187,0.184183,0.46001
"5413",88202,0.180656,0.460549
"5414",88218,0.177853,0.461263
"5415",88234,0.174486,0.460892
"5416",88249,0.17195,0.461107
"5417",88265,0.170011,0.461195
"5418",88280,0.16831,0.46194
"5419",88296,0.16745,0.462701
"5420",88312,0.166611,0.463634
"5421",88327,0.16584,0.465215
"5422",88358,0.164671,0.467133
"5423",88374,0.164233,0.469026
"5424",88390,0.163862,0.471162
"5425",88405,0.163256,0.472884
"5426",88421,0.163033,0.473361
"5427",88436,0.162466,0.47394
"5428",88452,0.162189,0.473865
"5429",88468,0.162044,0.473902
"5430",88483,0.1621,0.474166
"5431",88499,0.161826,0.474608
"5432",88514,0.161539,0.474777
"5433",88530,0.161485,0.475235
"5434",88546,0.161338,0.475365
"5435",88561,0.161403,0.475259
"5436",88577,0.161427,0.474957
"5437",88592,0.161423,0.474353
"5438",88608,0.161524,0.473998
"5439",88624,0.161838,0.473455
"5440",88639,0.162223,0.473095
"5441",88655,0.162185,0.472763
"5442",88670,0.161956,0.472801
"5443",88686,0.161675,0.473219
"5444",88702,0.161663,0.473566
"5445",88717,0.161808,0.474218
"5446",88733,0.161855,0.474546
"5447",88748,0.16194,0.475305
"5448",88764,0.16229,0.476874
"5449",88780,0.162952,0.479329
"5450",88811,0.163675,0.482446
"5451",88826,0.164054,0.486433
"5452",88842,0.163669,0.490466
"5453",88858,0.163343,0.495027
"5454",88873,0.163155,0.498667
"5455",88889,0.163557,0.501997
"5456",88904,0.163693,0.504979
"5457",88920,0.164004,0.50761
"5458",88936,0.164151,0.5101
"5459",88951,0.164017,0.512375
